WKT,PFI,UFI,FTYPE_CODE,NFEAT_ID,EZI_RDNAME,EZIRDNMLBL,ROAD_NAME,ROAD_TYPE,RD_SUF,RD_NAME1,RD_TYPE1,RD_SUF1,RD_NAME2,RD_TYPE2,RD_SUF2,RD_NAME3,RD_TYPE3,RD_SUF3,RD_NAME4,RD_TYPE4,RD_SUF4,RD_NAME5,RD_TYPE5,RD_SUF5,RD_NAME6,RD_TYPE6,RD_SUF6,RD_NAME7,RD_TYPE7,RD_SUF7,LEFT_LOC,RIGHT_LOC,CLASS_CODE,DIR_CODE,ROUTE_NO,STRUCTNAME,HT_LIMIT,RESTRICTN,PHYS_COND,CONST_TYPE,ROAD_SEAL,DIV_RD,NRE_ROUTE,FROM_UFI,TO_UFI,FQID,CRDATE_PFI,SUPER_PFI,CRDATE_UFI
"LINESTRING (144.96094194500006 -37.810438735999981,144.96135880000008 -37.81031669399999)",5673781,16434459,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310361,13098515,1269,2000/12/17,0,2006/11/09
"LINESTRING (144.96382624600005 -37.809594261999962,144.96135880000008 -37.81031669399999)",5673723,16434460,road,0,LA TROBE STREET,La Trobe St,LA TROBE,STREET,,LATROBE,STREET,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310000,13098515,1269,2000/12/17,0,2006/11/09
"LINESTRING (144.96527441000001 -37.816454228,144.96541730700005 -37.816413804999968,144.96543878099999 -37.81642137099999)",11618628,16434461,road,0,CENTRE PLACE,Centre Pl,CENTRE,PLACE,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,5,B,,,0.0,,,,1,U,,15211715,15211714,281,2005/03/15,5677381,2006/11/09
"LINESTRING (144.96543878099999 -37.81642137099999,144.96544835400005 -37.81642474399996,144.96565266800008 -37.816871042)",11618629,16434462,road,0,CENTRE PLACE,Centre Pl,CENTRE,PLACE,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,5,B,,,0.0,,,,1,U,,15211714,15211716,281,2005/03/15,5677381,2006/11/09
"LINESTRING (144.96990271800007 -37.816735599999959,144.97002314300005 -37.81685231,144.97057759000006 -37.81790741399999)",10079106,18387733,road,0,RUSSELL STREET EX,Russell St Extension,RUSSELL,STREET,EX,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,4,B,,,0.0,,,,1,ND,,2313430,16288069,4996,2002/12/12,0,2007/07/02
"LINESTRING (144.97545449400002 -37.810712828999954,144.97500801900003 -37.811486538999986)",11769127,16235131,road,0,MACARTHUR STREET,Macarthur St,MACARTHUR,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,4,B,,,0.0,,,,1,U,,2310490,16235379,1328,2006/03/27,5674483,2006/03/27
"LINESTRING (144.97500801900003 -37.811486538999986,144.97492603199998 -37.811628618999976)",11769128,16235132,road,0,MACARTHUR STREET,Macarthur St,MACARTHUR,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,4,B,,,0.0,,,,1,U,,16235379,16235381,1328,2006/03/27,5674483,2006/03/27
"LINESTRING (144.97492603199998 -37.811628618999976,144.97487719200001 -37.811713258)",11769129,16235133,road,0,MACARTHUR STREET,Macarthur St,MACARTHUR,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,4,B,,,0.0,,,,1,U,,16235381,16235385,1328,2006/03/27,5674483,2006/03/27
"LINESTRING (144.97487719200001 -37.811713258,144.97483296500002 -37.811789897999972)",11769130,16235134,road,0,MACARTHUR STREET,Macarthur St,MACARTHUR,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,4,B,,,0.0,,,,1,U,,16235385,2310995,1328,2006/03/27,5674483,2006/03/27
"LINESTRING (144.97483296500002 -37.811789897999972,144.97479926100004 -37.811848302999977)",11769131,16235135,road,0,MACARTHUR STREET,Macarthur St,MACARTHUR,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,4,B,,,0.0,,,,1,U,,2310995,16235389,1328,2006/03/27,5675354,2006/03/27
"LINESTRING (144.97479926100004 -37.811848302999977,144.97395249200008 -37.813315615999954)",11769132,16235136,road,0,MACARTHUR STREET,Macarthur St,MACARTHUR,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,4,B,,,0.0,,,,1,U,,16235389,2311759,1328,2006/03/27,5675354,2006/03/27
"LINESTRING (144.97384288600006 -37.809340004999967,144.97456690900003 -37.809419097999978)",11769133,16235137,road,0,ALBERT STREET,Albert St,ALBERT,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,3,B,,,0.0,,,,1,DS,,2309852,16235365,1269,2006/03/27,5673310,2006/03/27
"LINESTRING (144.97456690900003 -37.809419097999978,144.97470618099999 -37.809434308999982,144.97565135700006 -37.809537535)",11769134,16235138,road,0,ALBERT STREET,Albert St,ALBERT,STREET,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,3,B,,,0.0,,,,1,DS,,16235365,2309970,1269,2006/03/27,5673310,2006/03/27
"LINESTRING (144.97432797 -37.813584970999955,144.97535302300003 -37.81328250199999)",11769154,16235158,road,0,TREASURY PLACE,Treasury Pl,TREASURY,PLACE,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,5,B,,,0.0,,,,1,U,,2311897,16235411,281,2006/03/27,10086961,2006/03/27
"LINESTRING (144.97676377400001 -37.812846877999959,144.97669645500002 -37.812865550999959,144.97658095400004 -37.812897315999976,144.976472747 -37.812925090999954,144.97634847799998 -37.812959538999962,144.97620648899999 -37.81300266,144.97609277000004 -37.813039281999977,144.97599218200003 -37.813067426999964,144.97586936599998 -37.813103090999959,144.97580088699999 -37.813125439999965,144.975714552 -37.81315367799999,144.97561309900004 -37.81318672499998,144.97552395900004 -37.81321591699998,144.97535302300003 -37.81328250199999)",11769155,16235159,road,0,TREASURY PLACE,Treasury Pl,TREASURY,PLACE,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,5,B,,,0.0,,,,1,U,,16235410,16235411,281,2006/03/27,10086961,2006/03/27
"LINESTRING (144.97715594700003 -37.812729947999969,144.97694278900008 -37.812794446999987,144.97681883900009 -37.812827922,144.97676377400001 -37.812846877999959)",11769156,16235160,road,0,TREASURY PLACE,Treasury Pl,TREASURY,PLACE,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,5,B,,,0.0,,,,1,U,,16235409,16235410,281,2006/03/27,10086961,2006/03/27
"LINESTRING (144.97748648600009 -37.813218490999986,144.977233447 -37.81284467,144.97715594700003 -37.812729947999969)",10086963,16235161,road,0,UNNAMED,Unnamed,UNNAMED,,,,,,,,,,,,,,,,,,,,,,,,EAST MELBOURNE,EAST MELBOURNE,11,B,,,0.0,,,,2,ND,,12493877,16235409,4991,2003/01/07,0,2006/03/27
"LINESTRING (144.95644638300007 -37.811754773999951,144.95656782600008 -37.812025992999963)",11769097,16235100,road,0,WILLIAM STREET,William St,WILLIAM,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,2310978,16235395,1272,2006/03/27,5675060,2006/03/27
"LINESTRING (144.95656782600008 -37.812025992999963,144.956797069 -37.812537937)",11769098,16235101,road,0,WILLIAM STREET,William St,WILLIAM,STREET,,,,,,,,,,,,,,,,,,,,,,,MELBOURNE,MELBOURNE,3,B,,,0.0,,,,1,U,,16235395,16235405,1272,2006/03/27,5675060,2006/03/27
